,date,name,title_text,content_text,link
127,26.jul.2024 às 17h56,Folha de S.Paulo - Equilíbrio e Saúde,Febre oropouche já atinge 16 estados no Brasil,"Também já foram relatados casos e surtos em outros países das Américas Central e do Sul (Panamá, Argentina, Bolívia, Equador, Peru e Venezuela). ...",https://www1.folha.uol.com.br/equilibrioesaude/2024/07/febre-oropouche-ja-atinge-16-estados-no-brasil.shtml
128,26.jul.2024 às 16h07,Folha de S.Paulo - Mundo,"Convidados, desconvidados; saiba quem vai acompanhar as eleições na Venezuela",desconvocado; TSE declinou de enviar observadores após críticas de Maduro às urnas brasileiras O número de pessoas e entidades que aceitaram acompanhar as eleições do próximo domingo (28) na Venezuela ...,https://www1.folha.uol.com.br/mundo/2024/07/convidados-desconvidados-saiba-quem-vai-acompanhar-as-eleicoes-na-venezuela.shtml
129,26.jul.2024 às 15h00,Folha - Colunistas - Dora Kramer,O dia depois de amanhã,"senso, contudo, que se for materializada uma vitória fraudulenta de Maduro, o governo brasileiro não insista na fantasia de que a eleição prova a existência de uma democracia consolidada na Venezuela ...",https://www1.folha.uol.com.br/colunas/dora-kramer/2024/07/o-dia-depois-de-amanha.shtml
130,26.jul.2024 às 11h02,Folha Blogs - Brasília Hoje,Lula confirma ida de Celso Amorim para a Venezuela; veja vídeo,"""Companheiro Celso Amorim está embarcando agora às 14h para a Venezuela"", disse Lula a jornalistas, pouco antes de evento do Novo PAC no Palácio do Planalto. ...",https://www1.folha.uol.com.br/blogs/brasilia-hoje/2024/07/lula-confirma-ida-de-celso-amorim-para-a-venezuela-veja-video.shtml
131,26.jul.2024 às 7h00,Folha de S.Paulo - Equilíbrio e Saúde,"Suicídios entre indígenas no país aumentaram 56% de 2022 para 2023, aponta estudo","crianças menores de quatro anos morreram em 2023 de gripe, pneumonia, diarreia ou infecções intestinais e desnutrição, particularmente nos estados de Roraima e Amazonas, na fronteira com a Venezuela ...",https://www1.folha.uol.com.br/equilibrioesaude/2024/07/suicidios-entre-indigenas-no-pais-aumentaram-56-de-2022-para-2023-aponta-estudo.shtml
132,25.jul.2024 às 23h00,Folha - Colunistas - Bruno Boghossian,Convite de Maduro ao Brasil tem todos os ares de uma cilada,"Horas antes, Maduro fazia um discurso em que declarava ter ""o absoluto e firme apoio dos militares da Venezuela"". ...",https://www1.folha.uol.com.br/colunas/bruno-boghossian/2024/07/convite-de-maduro-ao-brasil-tem-todos-os-ares-de-uma-cilada.shtml
133,25.jul.2024 às 22h00,Painel do Leitor - Painel do Leitor,"'Não fazer saneamento custa caro no SUS e na produtividade do país depois', diz leitor",A questão é: as urnas da Venezuela são auditáveis? É possível crer que não haverá manipulação? ...,https://www1.folha.uol.com.br/paineldoleitor/2024/07/nao-fazer-saneamento-custa-caro-no-sus-e-na-produtividade-do-pais-depois-diz-leitor.shtml
134,25.jul.2024 às 20h09,Folha - Colunistas - Renato Terra,Novas modalidades olímpicas para a geração Z,"Golpismo com obstáculos: Delegações de Brasil, Venezuela, Estados Unidos e Hungria chegam como favoritas. ...",https://www1.folha.uol.com.br/colunas/renato-terra/2024/07/novas-modalidades-olimpicas-para-a-geracao-z.shtml
135,25.jul.2024 às 20h04,Folha de S.Paulo - Mundo,Caracas é tomada por atos de Maduro e González em último dia de campanha,"""Quem pediu as sanções criminosas contra a Venezuela? Quem pediu que a Venezuela fosse invadida pelo Exército gringo? Vocês querem que a violência e os dias sombrios retornem?"" ...",https://www1.folha.uol.com.br/mundo/2024/07/caracas-e-tomada-por-caravanas-de-maduro-e-gonzalez-em-ultimo-dia-de-campanha-eleitoral.shtml
136,25.jul.2024 às 16h05,Folha de S.Paulo - Equilíbrio e Saúde,Ministério da Saúde confirma duas mortes por febre oropouche no Brasil,"Também já foram relatados casos e surtos em outros países das Américas Central e do Sul (Panamá, Argentina, Bolívia, Equador, Peru e Venezuela). ...",https://www1.folha.uol.com.br/equilibrioesaude/2024/07/ministerio-da-saude-confirma-duas-mortes-por-febre-oropouche-no-brasil.shtml
137,25.jul.2024 às 14h59,Folha de S.Paulo - Mundo,"'Sou a garantia de paz e estabilidade', diz Maduro em pronunciamento na TV","Nesta quinta, o presidente do Chile, Gabriel Boric, também mencionou o brasileiro ao falar da Venezuela. ...",https://www1.folha.uol.com.br/mundo/2024/07/sou-a-garantia-de-paz-e-estabilidade-diz-maduro-em-pronunciamento-na-tv.shtml
138,25.jul.2024 às 14h04,Folha de S.Paulo - Mundo,Maduro busca eleitor jovem nas redes sociais e lança videobiografia no YouTube,"Para esses jovens de 17 e 18 anos, Nicolás Maduro aplaca a violência na Venezuela, mesmo que estejam falando de Petare, ""barrio"" que faz do município de Sucre, na Grande Caracas, o terceiro mais ...",https://www1.folha.uol.com.br/mundo/2024/07/maduro-busca-eleitor-jovem-nas-redes-sociais-e-lanca-videobiografia-no-youtube.shtml
